JobTitle,Company,Location,StartDate,EndDate,"Accomplishments","Skills"
Data Science Fellow,CUNY Tech Prep (CTP),New York,Jul 2025,present,"Applied end-to-end techniques in data preparation, exploratory data analysis (EDA), feature and prompt engineering, machine learning, statistical modeling, and data visualization on interactive dashboards using Python and Streamlit.","Python, Pandas, NumPy, Matplotlib, Seaborn, Plotly, Altair, Scikit-learn, TensorFlow, Keras, PyTorch, Jupyter Notebooks, Streamlit, Git, Github"
Web Designer / Fullstack Web Developer,The Lohman Laboratory - The City College of New York, New York,Nov 2024,Oct 2025,"Designed and developed an interactive web application for academic professionals to host, filter, create, insert, and manage (CRUD) comprehensive taxonomic and geographic data on butterfly mimicry for over 19,000 species, supporting professional classification and research workflows.","TypeScript, JavaScript, React, Next.js, Tailwind CSS, PostgreSQL, Prisma, NextAuth.js, Vercel, Git, Github"
Navigate Student Content Administrator,Navigate Student App Committee - The City College of New York,New York,Sept 2023, Dec 2023,"Brainstormed and collaborated with the committee coordinator and other students to improve student enrollment, success, and retention through streamlining of features & resources promotion in the Navigate Student App. Provided and collected feedback in monthly meetings using Microsoft Teams, Google Forms, and Zoom Polls to document sample student responses on the limitations of online access for student affairs services and resources.",""
